@RELATION change_classic_combined

@ATTRIBUTE numberOfVersionsUntil  NUMERIC
@ATTRIBUTE numberOfFixesUntil   NUMERIC
@ATTRIBUTE numberOfRefactoringsUntil  NUMERIC
@ATTRIBUTE umberOfAuthorsUntil   NUMERIC
@ATTRIBUTE linesAddedUntil   NUMERIC
@ATTRIBUTE maxLinesAddedUntil   NUMERIC
@ATTRIBUTE avgLinesAddedUntil   NUMERIC
@ATTRIBUTE linesRemovedUntil   NUMERIC
@ATTRIBUTE maxLinesRemovedUntil   NUMERIC
@ATTRIBUTE avgLinesRemovedUntil   NUMERIC
@ATTRIBUTE codeChurnUntil   NUMERIC
@ATTRIBUTE maxCodeChurnUntil   NUMERIC
@ATTRIBUTE avgCodeChurnUntil   NUMERIC
@ATTRIBUTE weightedAgeWithRespectTo   NUMERIC
@ATTRIBUTE ageWithRespectTo   NUMERIC
@ATTRIBUTE cbo  NUMERIC
@ATTRIBUTE dit  NUMERIC
@ATTRIBUTE fanIn  NUMERIC
@ATTRIBUTE fanOut  NUMERIC
@ATTRIBUTE lcom  NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE numberOfAttributes  NUMERIC
@ATTRIBUTE numberOfAttributesInherited  NUMERIC
@ATTRIBUTE numberOfLinesOfCode  NUMERIC
@ATTRIBUTE numberOfMethods  NUMERIC
@ATTRIBUTE numberOfMethodsInherited  NUMERIC
@ATTRIBUTE numberOfPrivateAttributes  NUMERIC
@ATTRIBUTE numberOfPrivateMethods  NUMERIC
@ATTRIBUTE numberOfPublicAttributes  NUMERIC
@ATTRIBUTE numberOfPublicMethods  NUMERIC
@ATTRIBUTE rfc  NUMERIC
@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
25, 8, 0, 5, 228, 82, 9.12, 61, 8, 2.44, 167, 74, 6.68, 10.4781, 229.714, 6, 2, 3, 4, 105, 0, 5, 95, 95, 15, 68, 3, 0, 0, 6, 51, 25, 0
11, 4, 0, 3, 193, 81, 17.5455, 12, 4, 1.09091, 181, 81, 16.4545, 13.1984, 222.857, 8, 2, 4, 4, 15, 0, 6, 0, 42, 6, 23, 6, 0, 0, 5, 14, 10, 0
32, 7, 0, 5, 219, 89, 6.84375, 207, 89, 6.46875, 12, 11, 0.375, 53.9478, 367, 5, 7, 1, 4, 3, 0, 0, 397, 42, 3, 124, 0, 0, 0, 3, 22, 14, 0
52, 3, 0, 5, 991, 226, 19.0577, 633, 148, 12.1731, 358, 161, 6.88462, 136.59, 367, 12, 3, 4, 8, 78, 0, 16, 143, 387, 13, 40, 6, 0, 10, 10, 125, 93, 0
13, 2, 0, 4, 91, 31, 7, 49, 14, 3.76923, 42, 17, 3.23077, 35.4835, 175, 1, 2, 1, 0, 136, 0, 15, 2, 53, 17, 41, 1, 0, 1, 17, 18, 19, 0
9, 5, 0, 4, 11, 5, 1.22222, 10, 5, 1.11111, 1, 1, 0.111111, 86.3117, 224.857, 4, 2, 3, 1, 3, 0, 2, 0, 14, 3, 15, 0, 0, 2, 2, 4, 4, 0
193, 30, 0, 12, 6571, 1071, 34.0466, 6072, 1123, 31.4611, 499, 174, 2.58549, 111.711, 367, 63, 3, 36, 33, 351, 2, 30, 391, 624, 27, 42, 0, 1, 26, 25, 172, 148, 1
12, 2, 0, 5, 228, 53, 19, 162, 35, 13.5, 66, 40, 5.5, 4.72807, 193.571, 1, 1, 1, 1, 6, 1, 1, 0, 20, 4, 8, 0, 0, 1, 3, 5, 6, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85714, 1, 2, 1, 0, 1, 2, 0, 5, 0, 2, 19, 0, 0, 0, 2, 2, 0, 0
91, 8, 0, 9, 6880, 1627, 75.6044, 5271, 1359, 57.9231, 1609, 583, 17.6813, 96.0161, 236, 36, 2, 18, 23, 190, 2, 12, 3, 1126, 20, 13, 2, 6, 0, 14, 244, 276, 1
35, 6, 0, 7, 405, 155, 11.5714, 409, 155, 11.6857, -4, 12, -0.114286, 46.4272, 367, 4, 1, 1, 3, 45, 0, 1, 0, 52, 10, 17, 0, 0, 1, 10, 34, 17, 0
6, 3, 0, 3, 104, 49, 17.3333, 6, 4, 1, 98, 49, 16.3333, 14.8173, 228.857, 6, 3, 3, 3, 3, 0, 2, 1, 16, 3, 31, 2, 0, 0, 2, 8, 4, 0
43, 6, 0, 6, 409, 105, 9.51163, 317, 110, 7.37209, 92, 79, 2.13953, 133.861, 367, 18, 6, 3, 15, 91, 3, 0, 53, 127, 14, 170, 0, 1, 0, 10, 61, 29, 1
168, 12, 0, 10, 2126, 307, 12.6548, 1719, 307, 10.2321, 407, 63, 2.42262, 129.876, 367, 22, 4, 5, 17, 136, 5, 13, 384, 494, 17, 77, 0, 0, 13, 17, 191, 166, 1
20, 4, 0, 7, 115, 14, 5.75, 175, 94, 8.75, -60, 5, -3, 99.8596, 244.571, 2, 2, 2, 0, 0, 0, 0, 0, 3, 1, 43, 0, 0, 0, 1, 2, 1, 0
92, 12, 0, 9, 2972, 319, 32.3043, 3264, 892, 35.4783, -292, 168, -3.17391, 49.4217, 239.143, 27, 2, 7, 20, 210, 4, 6, 133, 795, 21, 46, 4, 0, 2, 3, 171, 212, 1
76, 10, 0, 7, 1763, 600, 23.1974, 1852, 600, 24.3684, -89, 43, -1.17105, 81.0014, 367, 21, 7, 1, 20, 55, 0, 2, 448, 591, 11, 115, 0, 0, 2, 11, 220, 156, 1
54, 8, 0, 7, 740, 243, 13.7037, 669, 243, 12.3889, 71, 85, 1.31481, 94.1838, 367, 9, 3, 1, 8, 45, 0, 7, 126, 166, 10, 44, 0, 0, 7, 10, 40, 39, 0
4, 1, 0, 4, 18, 17, 4.5, 7, 6, 1.75, 11, 11, 2.75, 23.2937, 141.714, 3, 1, 0, 3, 45, 0, 4, 0, 144, 10, 8, 0, 3, 4, 7, 40, 37, 0
149, 12, 0, 11, 5262, 483, 35.3154, 4660, 483, 31.2752, 602, 226, 4.04027, 148.462, 367, 108, 3, 92, 18, 528, 15, 4, 380, 760, 33, 38, 0, 2, 4, 31, 281, 234, 0
2, 1, 0, 2, 1, 1, 0.5, 1, 1, 0.5, 0, 0, 0, 69.2857, 127, 5, 3, 3, 3, 10, 1, 1, 13, 35, 5, 55, 0, 0, 0, 1, 12, 13, 0
10, 4, 0, 3, 60, 32, 6, 61, 33, 6.1, -1, 0, -0.1, 97.4809, 322.714, 3, 2, 1, 2, 10, 0, 3, 0, 72, 5, 22, 3, 1, 0, 3, 55, 15, 0
47, 7, 0, 5, 320, 52, 6.80851, 262, 52, 5.57447, 58, 20, 1.23404, 92.4138, 367, 7, 6, 5, 3, 15, 2, 2, 385, 52, 6, 95, 0, 0, 2, 5, 17, 12, 0
37, 6, 0, 6, 284, 64, 7.67568, 258, 64, 6.97297, 26, 22, 0.702703, 81.749, 367, 5, 2, 5, 0, 66, 0, 16, 152, 55, 12, 41, 15, 1, 1, 11, 14, 27, 0
82, 7, 0, 8, 2577, 325, 31.4268, 2733, 325, 33.3293, -156, 81, -1.90244, 77.5985, 367, 7, 4, 1, 6, 28, 0, 15, 61, 214, 8, 45, 0, 0, 10, 5, 47, 53, 1
29, 4, 0, 5, 184, 69, 6.34483, 185, 69, 6.37931, -1, 6, -0.0344828, 49.3261, 367, 5, 6, 1, 4, 3, 0, 0, 394, 32, 3, 102, 0, 0, 0, 3, 17, 11, 0
39, 14, 0, 7, 465, 167, 11.9231, 264, 167, 6.76923, 201, 74, 5.15385, 70.569, 333.143, 5, 3, 1, 5, 105, 0, 5, 95, 96, 15, 73, 3, 0, 0, 6, 51, 25, 0
7, 0, 0, 1, 23, 11, 3.28571, 6, 4, 0.857143, 17, 10, 2.42857, 2.03106, 16, 6, 5, 1, 5, 78, 0, 1, 62, 56, 13, 202, 0, 0, 0, 8, 22, 20, 0
89, 9, 0, 9, 2001, 399, 22.4831, 1889, 399, 21.2247, 112, 117, 1.25843, 118.103, 367, 55, 3, 44, 15, 105, 0, 12, 274, 378, 15, 103, 0, 2, 12, 11, 93, 110, 1
81, 18, 0, 9, 1835, 349, 22.6543, 1569, 379, 19.3704, 266, 79, 3.28395, 130.299, 367, 31, 1, 24, 7, 190, 0, 24, 0, 245, 20, 8, 3, 3, 21, 17, 72, 72, 1
32, 1, 0, 4, 413, 92, 12.9062, 122, 26, 3.8125, 291, 80, 9.09375, 24.9862, 175.714, 5, 2, 2, 3, 300, 0, 13, 2, 258, 25, 41, 8, 1, 1, 24, 130, 56, 0
58, 11, 0, 7, 1851, 721, 31.9138, 1730, 721, 29.8276, 121, 77, 2.08621, 49.3741, 367, 14, 4, 4, 11, 703, 0, 14, 50, 419, 38, 185, 0, 0, 0, 20, 162, 94, 0
86, 11, 0, 8, 1629, 335, 18.9419, 1535, 335, 17.8488, 94, 65, 1.09302, 76.4774, 367, 11, 3, 0, 11, 15, 0, 11, 380, 343, 6, 38, 2, 0, 9, 6, 106, 91, 0
2, 1, 0, 2, 1, 1, 0.5, 1, 1, 0.5, 0, 0, 0, 13.5714, 16.5714, 3, 5, 1, 2, 10, 0, 0, 58, 34, 5, 179, 0, 0, 0, 4, 12, 7, 0
24, 5, 0, 4, 167, 70, 6.95833, 174, 70, 7.25, -7, 8, -0.291667, 66.3601, 367, 3, 6, 1, 2, 21, 0, 1, 384, 39, 7, 79, 0, 0, 0, 7, 14, 11, 0
11, 4, 0, 6, 21, 4, 1.90909, 17, 4, 1.54545, 4, 3, 0.363636, 82.7755, 282, 1, 7, 1, 0, 15, 0, 1, 419, 21, 6, 118, 1, 0, 0, 6, 10, 6, 0
7, 2, 0, 2, 139, 75, 19.8571, 28, 13, 4, 111, 63, 15.8571, 1.58068, 9.14286, 6, 2, 3, 4, 136, 0, 7, 119, 197, 17, 16, 1, 1, 6, 7, 54, 68, 0
10, 3, 0, 6, 16, 5, 1.6, 28, 18, 2.8, -12, 5, -1.2, 86.4107, 271, 1, 4, 1, 0, 0, 0, 0, 7, 0, 1, 28, 0, 0, 0, 1, 1, 0, 0
7, 6, 0, 1, 12, 4, 1.71429, 10, 4, 1.42857, 2, 2, 0.285714, 93.3452, 168.857, 5, 1, 2, 3, 55, 2, 7, 0, 81, 11, 28, 7, 0, 0, 5, 29, 21, 0
18, 9, 1, 6, 211, 84, 11.7222, 53, 14, 2.94444, 158, 84, 8.77778, 21.6087, 222.714, 6, 5, 4, 2, 10, 1, 1, 388, 45, 5, 78, 0, 0, 1, 5, 13, 16, 0
224, 16, 0, 12, 6579, 1041, 29.3705, 5717, 1041, 25.5223, 862, 146, 3.84821, 115.991, 367, 55, 4, 32, 32, 1275, 1, 15, 49, 1461, 51, 148, 8, 2, 7, 43, 446, 456, 1
10, 2, 0, 2, 86, 60, 8.6, 62, 51, 6.2, 24, 9, 2.4, 22.3239, 105, 14, 3, 1, 13, 15, 0, 3, 19, 167, 6, 67, 0, 4, 3, 1, 51, 36, 0
12, 3, 0, 5, 233, 165, 19.4167, 78, 34, 6.5, 155, 131, 12.9167, 78.8087, 184.714, 13, 1, 8, 6, 45, 1, 2, 0, 151, 10, 8, 0, 3, 2, 6, 53, 53, 0
15, 4, 0, 5, 121, 69, 8.06667, 119, 69, 7.93333, 2, 6, 0.133333, 68.9906, 367, 1, 1, 1, 0, 3, 0, 1, 0, 11, 3, 8, 0, 0, 0, 3, 3, 3, 0
27, 5, 0, 5, 152, 42, 5.62963, 182, 32, 6.74074, -30, 41, -1.11111, 62.4445, 367, 3, 3, 1, 2, 3, 0, 1, 3, 27, 3, 17, 0, 1, 1, 1, 7, 8, 0
73, 16, 0, 8, 2096, 439, 28.7123, 1160, 439, 15.8904, 936, 282, 12.8219, 84.0883, 333.143, 15, 3, 8, 9, 595, 0, 23, 97, 319, 35, 84, 11, 0, 0, 18, 156, 81, 0
50, 6, 0, 8, 574, 115, 11.48, 707, 115, 14.14, -133, 14, -2.66, 119.907, 367, 2, 5, 1, 2, 10, 0, 2, 61, 50, 5, 49, 0, 1, 1, 1, 10, 15, 1
26, 6, 0, 6, 112, 54, 4.30769, 89, 54, 3.42308, 23, 7, 0.884615, 79.8367, 355.714, 3, 7, 1, 2, 28, 0, 0, 398, 25, 8, 107, 0, 0, 0, 8, 10, 8, 0
60, 3, 0, 7, 986, 170, 16.4333, 1102, 170, 18.3667, -116, 35, -1.93333, 74.1623, 367, 8, 3, 2, 7, 28, 0, 2, 52, 69, 8, 27, 0, 0, 1, 5, 24, 25, 1
3, 0, 0, 1, 149, 149, 49.6667, 149, 149, 49.6667, 0, 149, 0, 1.28571, 60, 5, 1, 1, 4, 36, 0, 3, 0, 109, 9, 16, 0, 2, 3, 7, 30, 31, 0
14, 4, 0, 5, 53, 9, 3.78571, 61, 9, 4.35714, -8, 0, -0.571429, 68.9003, 322.714, 35, 1, 32, 3, 55, 16, 0, 0, 85, 11, 8, 0, 0, 0, 0, 16, 21, 0
37, 6, 0, 6, 177, 65, 4.78378, 167, 65, 4.51351, 10, 11, 0.27027, 82.0153, 367, 7, 6, 2, 5, 10, 0, 0, 385, 35, 5, 95, 0, 0, 0, 4, 24, 11, 0
16, 2, 0, 4, 151, 30, 9.4375, 109, 31, 6.8125, 42, 19, 2.625, 46.8515, 169.143, 16, 1, 11, 5, 10, 0, 3, 0, 62, 5, 8, 1, 0, 2, 5, 18, 22, 0
110, 7, 0, 9, 1350, 176, 12.2727, 1190, 176, 10.8182, 160, 30, 1.45455, 92.3705, 367, 13, 2, 1, 13, 15, 0, 1, 8, 207, 6, 19, 0, 0, 1, 5, 58, 30, 0
31, 2, 0, 6, 571, 152, 18.4194, 578, 152, 18.6452, -7, 6, -0.225806, 61.5161, 367, 3, 1, 1, 2, 36, 0, 4, 0, 83, 9, 8, 0, 1, 4, 8, 24, 25, 0
10, 4, 0, 3, 29, 9, 2.9, 30, 10, 3, -1, 0, -0.1, 50.9852, 322.714, 7, 2, 4, 3, 6, 17, 4, 0, 18, 4, 22, 3, 0, 0, 4, 10, 5, 0
84, 31, 0, 8, 2092, 395, 24.9048, 1163, 62, 13.8452, 929, 395, 11.0595, 46.9666, 223.429, 19, 3, 0, 19, 15, 0, 21, 380, 451, 6, 38, 11, 0, 10, 6, 172, 84, 1
14, 4, 0, 4, 279, 92, 19.9286, 43, 10, 3.07143, 236, 88, 16.8571, 8.69329, 224.857, 1, 1, 1, 0, 55, 1, 0, 0, 43, 11, 8, 0, 0, 0, 0, 11, 11, 0
61, 13, 0, 8, 667, 241, 10.9344, 705, 241, 11.5574, -38, 5, -0.622951, 79.6989, 367, 13, 2, 1, 12, 1, 0, 0, 270, 166, 2, 48, 0, 0, 0, 2, 42, 29, 1
36, 3, 0, 5, 842, 188, 23.3889, 593, 97, 16.4722, 249, 123, 6.91667, 157.823, 367, 8, 2, 1, 7, 28, 0, 7, 141, 264, 8, 35, 0, 0, 7, 5, 85, 63, 0
13, 2, 0, 4, 74, 29, 5.69231, 50, 29, 3.84615, 24, 29, 1.84615, 13.749, 139.714, 6, 3, 1, 5, 6, 0, 2, 135, 107, 4, 67, 0, 0, 2, 2, 24, 49, 0
50, 6, 0, 8, 271, 42, 5.42, 217, 42, 4.34, 54, 27, 1.08, 128.633, 367, 11, 4, 6, 6, 15, 0, 2, 49, 64, 6, 148, 0, 0, 2, 2, 18, 18, 0
49, 4, 0, 7, 405, 136, 8.26531, 338, 136, 6.89796, 67, 17, 1.36735, 104.855, 367, 17, 3, 2, 15, 21, 0, 2, 25, 83, 7, 82, 0, 0, 0, 3, 49, 20, 0
28, 6, 0, 7, 407, 225, 14.5357, 365, 225, 13.0357, 42, 32, 1.5, 74.1846, 329, 8, 1, 3, 5, 10, 1, 10, 0, 140, 5, 8, 0, 0, 4, 4, 37, 48, 1
74, 8, 0, 8, 1181, 247, 15.9595, 1310, 247, 17.7027, -129, 33, -1.74324, 74.9741, 367, 8, 5, 0, 8, 21, 0, 2, 412, 70, 7, 94, 0, 0, 2, 7, 39, 18, 1
9, 4, 0, 4, 17, 4, 1.88889, 21, 6, 2.33333, -4, 0, -0.444444, 48.3193, 256.571, 1, 2, 1, 0, 1, 0, 3, 0, 11, 2, 11, 0, 0, 3, 1, 2, 4, 0
6, 3, 0, 3, 148, 71, 24.6667, 6, 4, 1, 142, 71, 23.6667, 10.582, 222.857, 5, 2, 1, 4, 10, 0, 4, 0, 27, 5, 22, 4, 0, 0, 4, 12, 7, 0
34, 12, 0, 7, 316, 123, 9.29412, 181, 123, 5.32353, 135, 60, 3.97059, 70.9878, 333.143, 4, 3, 1, 3, 66, 0, 3, 95, 59, 12, 73, 2, 0, 0, 3, 35, 16, 0
13, 4, 0, 7, 52, 17, 4, 7, 4, 0.538462, 45, 17, 3.46154, 29.2555, 226.571, 1, 4, 1, 0, 0, 0, 5, 6, 0, 1, 21, 0, 0, 5, 1, 1, 0, 0
11, 4, 0, 5, 18, 5, 1.63636, 21, 5, 1.90909, -3, 0, -0.272727, 89.1905, 319.714, 2, 4, 1, 1, 3, 0, 0, 410, 12, 3, 66, 0, 0, 0, 3, 5, 3, 0
44, 9, 0, 6, 292, 61, 6.63636, 271, 61, 6.15909, 21, 16, 0.477273, 78.2143, 367, 20, 2, 20, 0, 10, 5, 7, 380, 35, 5, 27, 0, 0, 7, 5, 10, 10, 0
41, 5, 0, 8, 535, 87, 13.0488, 363, 87, 8.85366, 172, 41, 4.19512, 80.2275, 329, 11, 2, 2, 9, 45, 0, 8, 0, 108, 10, 18, 0, 0, 8, 9, 51, 34, 0
18, 5, 0, 4, 134, 64, 7.44444, 136, 64, 7.55556, -2, 5, -0.111111, 53.8454, 367, 3, 1, 2, 1, 3, 0, 5, 0, 25, 3, 8, 0, 0, 5, 1, 5, 7, 0
52, 10, 0, 7, 355, 130, 6.82692, 355, 130, 6.82692, 0, 10, 0, 51.1952, 367, 9, 3, 1, 8, 10, 0, 0, 22, 90, 5, 78, 0, 1, 0, 0, 34, 30, 0
24, 7, 0, 7, 267, 108, 11.125, 124, 44, 5.16667, 143, 64, 5.95833, 145.973, 278.571, 11, 1, 1, 10, 55, 0, 1, 0, 377, 11, 8, 1, 7, 0, 4, 89, 80, 1
9, 3, 0, 5, 12, 4, 1.33333, 11, 4, 1.22222, 1, 1, 0.111111, 61.1071, 236, 6, 1, 6, 0, 1, 5, 0, 0, 0, 2, 8, 0, 0, 0, 2, 2, 0, 0
42, 3, 0, 6, 254, 53, 6.04762, 255, 53, 6.07143, -1, 5, -0.0238095, 84.9809, 367, 4, 2, 1, 3, 10, 2, 2, 141, 23, 5, 35, 0, 0, 2, 5, 13, 6, 0
19, 6, 0, 5, 101, 37, 5.31579, 22, 4, 1.15789, 79, 37, 4.15789, 16.587, 229.714, 4, 3, 2, 2, 36, 0, 1, 95, 31, 9, 75, 1, 0, 0, 1, 19, 9, 0
17, 3, 0, 6, 80, 15, 4.70588, 37, 6, 2.17647, 43, 9, 2.52941, 49.5089, 239.143, 6, 7, 2, 4, 3, 2, 2, 419, 30, 3, 115, 0, 0, 2, 3, 12, 8, 0
19, 6, 0, 5, 70, 23, 3.68421, 89, 23, 4.68421, -19, 11, -1, 145.004, 270.143, 9, 3, 8, 1, 28, 2, 1, 380, 31, 8, 38, 0, 0, 1, 8, 14, 11, 0
7, 0, 0, 1, 94, 34, 13.4286, 73, 26, 10.4286, 21, 11, 3, 3.71581, 9.57143, 5, 1, 1, 5, 10, 0, 11, 0, 140, 5, 16, 3, 1, 8, 4, 28, 25, 0
39, 14, 0, 8, 431, 164, 11.0513, 258, 164, 6.61538, 173, 74, 4.4359, 72.3752, 333.143, 6, 3, 1, 5, 91, 0, 5, 95, 86, 14, 73, 3, 0, 0, 4, 48, 22, 0
22, 4, 0, 8, 105, 23, 4.77273, 66, 23, 3, 39, 19, 1.77273, 69.2898, 248.571, 4, 2, 1, 4, 21, 0, 1, 68, 67, 7, 33, 0, 0, 0, 4, 18, 25, 1
84, 8, 0, 8, 919, 251, 10.9405, 803, 251, 9.55952, 116, 18, 1.38095, 87.5335, 367, 20, 6, 4, 18, 378, 1, 1, 69, 222, 28, 227, 0, 0, 0, 22, 126, 57, 0
132, 8, 0, 8, 2132, 535, 16.1515, 2129, 535, 16.1288, 3, 39, 0.0227273, 74.4663, 367, 28, 2, 1, 28, 36, 0, 4, 17, 423, 9, 19, 0, 3, 0, 3, 149, 56, 0
8, 4, 0, 4, 12, 4, 1.5, 10, 4, 1.25, 2, 1, 0.25, 40.2857, 228.143, 2, 2, 1, 1, 1, 0, 0, 219, 10, 2, 55, 0, 0, 0, 2, 3, 3, 1
5, 2, 0, 2, 144, 82, 28.8, 1, 1, 0.2, 143, 82, 28.6, 59.0307, 228.857, 4, 3, 1, 3, 6, 0, 5, 1, 33, 4, 31, 5, 0, 0, 4, 9, 7, 0
45, 15, 0, 7, 813, 187, 18.0667, 414, 187, 9.2, 399, 93, 8.86667, 98.4973, 333.143, 6, 3, 1, 6, 171, 0, 10, 95, 136, 19, 73, 6, 0, 0, 9, 72, 38, 0
28, 4, 0, 5, 265, 76, 9.46429, 256, 76, 9.14286, 9, 6, 0.321429, 52.4016, 367, 6, 4, 1, 5, 3, 0, 0, 393, 41, 3, 61, 0, 0, 0, 3, 18, 14, 0
19, 7, 0, 6, 317, 121, 16.6842, 312, 120, 16.4211, 5, 18, 0.263158, 51.1739, 229.857, 6, 1, 1, 5, 1, 0, 1, 114, 131, 2, 9, 1, 0, 0, 2, 38, 24, 0
33, 4, 0, 4, 397, 54, 12.0303, 280, 53, 8.48485, 117, 53, 3.54545, 42.6312, 164.714, 8, 5, 1, 7, 45, 0, 5, 55, 210, 10, 171, 0, 0, 5, 10, 70, 47, 0
49, 4, 0, 9, 630, 89, 12.8571, 197, 43, 4.02041, 433, 89, 8.83673, 62.839, 224.143, 7, 3, 4, 4, 10, 1, 1, 37, 34, 5, 72, 0, 0, 0, 5, 13, 6, 0
121, 8, 0, 10, 1517, 223, 12.5372, 1385, 237, 11.4463, 132, 39, 1.09091, 130.518, 367, 38, 4, 17, 23, 28, 5, 4, 396, 241, 8, 57, 0, 0, 4, 8, 105, 87, 0
5, 1, 0, 2, 26, 11, 5.2, 10, 4, 2, 16, 7, 3.2, 51.945, 103.286, 6, 1, 3, 3, 15, 0, 9, 0, 116, 6, 8, 1, 0, 6, 6, 34, 31, 0
38, 13, 0, 7, 453, 172, 11.9211, 269, 172, 7.07895, 184, 77, 4.84211, 69.9451, 333.143, 5, 3, 1, 4, 91, 0, 5, 95, 98, 14, 73, 3, 0, 0, 5, 49, 24, 0
49, 4, 0, 7, 497, 97, 10.1429, 583, 97, 11.898, -86, 19, -1.7551, 51.8896, 367, 2, 4, 1, 1, 3, 0, 1, 61, 17, 3, 45, 0, 0, 0, 1, 7, 4, 1
15, 2, 0, 7, 86, 17, 5.73333, 52, 11, 3.46667, 34, 15, 2.26667, 46.3405, 221, 12, 2, 1, 11, 105, 0, 5, 0, 163, 15, 19, 1, 4, 1, 3, 88, 35, 0
111, 21, 0, 9, 5118, 788, 46.1081, 5065, 788, 45.6306, 53, 279, 0.477477, 80.9683, 367, 22, 3, 7, 15, 630, 0, 23, 8, 724, 36, 37, 23, 8, 0, 28, 210, 246, 0
21, 4, 0, 7, 52, 15, 2.47619, 227, 82, 10.8095, -175, 2, -8.33333, 27.4478, 236, 10, 2, 3, 7, 28, 0, 1, 0, 46, 8, 18, 0, 0, 1, 8, 25, 12, 0
44, 4, 0, 8, 286, 82, 6.5, 252, 82, 5.72727, 34, 21, 0.772727, 62.7033, 367, 11, 4, 1, 11, 55, 1, 0, 52, 63, 11, 127, 0, 0, 0, 6, 34, 22, 0
36, 6, 0, 7, 597, 165, 16.5833, 87, 12, 2.41667, 510, 165, 14.1667, 13.5219, 239.571, 6, 2, 1, 6, 105, 0, 5, 95, 91, 15, 68, 3, 0, 0, 5, 50, 23, 0
