@RELATION allchange-metrics

@ATTRIBUTE numberOfVersionsUntil  NUMERIC
@ATTRIBUTE numberOfFixesUntil   NUMERIC
@ATTRIBUTE numberOfRefactoringsUntil  NUMERIC
@ATTRIBUTE umberOfAuthorsUntil   NUMERIC
@ATTRIBUTE linesAddedUntil   NUMERIC
@ATTRIBUTE maxLinesAddedUntil   NUMERIC
@ATTRIBUTE avgLinesAddedUntil   NUMERIC
@ATTRIBUTE linesRemovedUntil   NUMERIC
@ATTRIBUTE maxLinesRemovedUntil   NUMERIC
@ATTRIBUTE avgLinesRemovedUntil   NUMERIC
@ATTRIBUTE codeChurnUntil   NUMERIC
@ATTRIBUTE maxCodeChurnUntil   NUMERIC
@ATTRIBUTE avgCodeChurnUntil   NUMERIC
@ATTRIBUTE weightedAgeWithRespectTo   NUMERIC
@ATTRIBUTE ageWithRespectTo   NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
49,4,0,7,405.0,136.0,8.26531,338.0,136.0,6.89796,67.0,17.0,1.36735,367.0,104.855,0
28,6,0,7,407.0,225.0,14.5357,365.0,225.0,13.0357,42.0,32.0,1.5,329.0,74.1846,1
74,8,0,8,1181.0,247.0,15.9595,1310.0,247.0,17.7027,-129.0,33.0,-1.74324,367.0,74.9741,1
9,4,0,4,17.0,4.0,1.88889,21.0,6.0,2.33333,-4.0,0.0,-0.444444,256.571,48.3193,0
6,3,0,3,148.0,71.0,24.6667,6.0,4.0,1.0,142.0,71.0,23.6667,222.857,10.582,0
34,12,0,7,316.0,123.0,9.29412,181.0,123.0,5.32353,135.0,60.0,3.97059,333.143,70.9878,0
13,4,0,7,52.0,17.0,4.0,7.0,4.0,0.538462,45.0,17.0,3.46154,226.571,29.2555,0
11,4,0,5,18.0,5.0,1.63636,21.0,5.0,1.90909,-3.0,0.0,-0.272727,319.714,89.1905,0
44,9,0,6,292.0,61.0,6.63636,271.0,61.0,6.15909,21.0,16.0,0.477273,367.0,78.2143,0
41,5,0,8,535.0,87.0,13.0488,363.0,87.0,8.85366,172.0,41.0,4.19512,329.0,80.2275,0
18,5,0,4,134.0,64.0,7.44444,136.0,64.0,7.55556,-2.0,5.0,-0.111111,367.0,53.8454,0
52,10,0,7,355.0,130.0,6.82692,355.0,130.0,6.82692,0.0,10.0,0.0,367.0,51.1952,0
24,7,0,7,267.0,108.0,11.125,124.0,44.0,5.16667,143.0,64.0,5.95833,278.571,145.973,1
9,3,0,5,12.0,4.0,1.33333,11.0,4.0,1.22222,1.0,1.0,0.111111,236.0,61.1071,0
42,3,0,6,254.0,53.0,6.04762,255.0,53.0,6.07143,-1.0,5.0,-0.0238095,367.0,84.9809,0
19,6,0,5,101.0,37.0,5.31579,22.0,4.0,1.15789,79.0,37.0,4.15789,229.714,16.587,0
17,3,0,6,80.0,15.0,4.70588,37.0,6.0,2.17647,43.0,9.0,2.52941,239.143,49.5089,0
19,6,0,5,70.0,23.0,3.68421,89.0,23.0,4.68421,-19.0,11.0,-1.0,270.143,145.004,0
7,0,0,1,94.0,34.0,13.4286,73.0,26.0,10.4286,21.0,11.0,3.0,9.57143,3.71581,0
39,14,0,8,431.0,164.0,11.0513,258.0,164.0,6.61538,173.0,74.0,4.4359,333.143,72.3752,0
22,4,0,8,105.0,23.0,4.77273,66.0,23.0,3.0,39.0,19.0,1.77273,248.571,69.2898,1
84,8,0,8,919.0,251.0,10.9405,803.0,251.0,9.55952,116.0,18.0,1.38095,367.0,87.5335,0
132,8,0,8,2132.0,535.0,16.1515,2129.0,535.0,16.1288,3.0,39.0,0.0227273,367.0,74.4663,0
8,4,0,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,40.2857,1
5,2,0,2,144.0,82.0,28.8,1.0,1.0,0.2,143.0,82.0,28.6,228.857,59.0307,0
45,15,0,7,813.0,187.0,18.0667,414.0,187.0,9.2,399.0,93.0,8.86667,333.143,98.4973,0
28,4,0,5,265.0,76.0,9.46429,256.0,76.0,9.14286,9.0,6.0,0.321429,367.0,52.4016,0
19,7,0,6,317.0,121.0,16.6842,312.0,120.0,16.4211,5.0,18.0,0.263158,229.857,51.1739,0
33,4,0,4,397.0,54.0,12.0303,280.0,53.0,8.48485,117.0,53.0,3.54545,164.714,42.6312,0
49,4,0,9,630.0,89.0,12.8571,197.0,43.0,4.02041,433.0,89.0,8.83673,224.143,62.839,0
121,8,0,10,1517.0,223.0,12.5372,1385.0,237.0,11.4463,132.0,39.0,1.09091,367.0,130.518,0
5,1,0,2,26.0,11.0,5.2,10.0,4.0,2.0,16.0,7.0,3.2,103.286,51.945,0
38,13,0,7,453.0,172.0,11.9211,269.0,172.0,7.07895,184.0,77.0,4.84211,333.143,69.9451,0
49,4,0,7,497.0,97.0,10.1429,583.0,97.0,11.898,-86.0,19.0,-1.7551,367.0,51.8896,1
15,2,0,7,86.0,17.0,5.73333,52.0,11.0,3.46667,34.0,15.0,2.26667,221.0,46.3405,0
111,21,0,9,5118.0,788.0,46.1081,5065.0,788.0,45.6306,53.0,279.0,0.477477,367.0,80.9683,0
21,4,0,7,52.0,15.0,2.47619,227.0,82.0,10.8095,-175.0,2.0,-8.33333,236.0,27.4478,0
44,4,0,8,286.0,82.0,6.5,252.0,82.0,5.72727,34.0,21.0,0.772727,367.0,62.7033,0
36,6,0,7,597.0,165.0,16.5833,87.0,12.0,2.41667,510.0,165.0,14.1667,239.571,13.5219,0
30,3,0,6,929.0,78.0,30.9667,902.0,78.0,30.0667,27.0,16.0,0.9,367.0,30.1708,0
18,4,0,4,599.0,151.0,33.2778,51.0,24.0,2.83333,548.0,151.0,30.4444,169.857,73.1803,1
19,5,0,7,240.0,46.0,12.6316,215.0,44.0,11.3158,25.0,10.0,1.31579,234.571,21.7625,0
26,6,0,7,207.0,50.0,7.96154,164.0,50.0,6.30769,43.0,14.0,1.65385,367.0,104.823,0
38,13,0,7,484.0,172.0,12.7368,296.0,172.0,7.78947,188.0,73.0,4.94737,333.143,72.0003,0
45,6,0,8,1727.0,444.0,38.3778,722.0,107.0,16.0444,1005.0,430.0,22.3333,229.0,25.5065,0
9,5,0,3,234.0,103.0,26.0,26.0,15.0,2.88889,208.0,103.0,23.1111,228.857,15.5336,0
72,11,0,7,873.0,188.0,12.125,818.0,188.0,11.3611,55.0,14.0,0.763889,367.0,101.333,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.714,0,0
35,6,0,6,177.0,54.0,5.05714,201.0,54.0,5.74286,-24.0,5.0,-0.685714,367.0,57.4762,0
27,4,0,8,317.0,98.0,11.7407,91.0,35.0,3.37037,226.0,63.0,8.37037,248.571,58.6223,0
17,4,0,5,66.0,23.0,3.88235,41.0,17.0,2.41176,25.0,22.0,1.47059,367.0,118.11,0
16,3,0,4,79.0,27.0,4.9375,81.0,27.0,5.0625,-2.0,6.0,-0.125,367.0,74.094,0
3,1,0,2,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,49.8571,40.6667,0
34,5,0,7,553.0,184.0,16.2647,514.0,184.0,15.1176,39.0,25.0,1.14706,367.0,78.5451,0
107,10,0,9,1707.0,139.0,15.9533,863.0,70.0,8.06542,844.0,119.0,7.88785,248.571,94.0384,1
22,6,0,4,192.0,109.0,8.72727,185.0,109.0,8.40909,7.0,5.0,0.318182,367.0,58.026,0
2,2,0,1,2.0,2.0,1.0,3.0,3.0,1.5,-1.0,0.0,-0.5,57.8571,0,0
34,12,0,7,316.0,122.0,9.29412,183.0,122.0,5.38235,133.0,59.0,3.91176,333.143,70.3734,0
35,7,0,7,215.0,50.0,6.14286,148.0,46.0,4.22857,67.0,41.0,1.91429,281.143,35.0671,1
28,2,0,7,981.0,334.0,35.0357,1039.0,334.0,37.1071,-58.0,12.0,-2.07143,367.0,59.3,0
8,2,0,2,132.0,62.0,16.5,104.0,50.0,13.0,28.0,12.0,3.5,105.0,81.7056,1
38,6,0,5,239.0,58.0,6.28947,226.0,58.0,5.94737,13.0,9.0,0.342105,367.0,67.2791,1
116,9,0,8,1922.0,368.0,16.569,1691.0,368.0,14.5776,231.0,29.0,1.99138,367.0,76.0182,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2857,0,0
58,14,0,8,673.0,206.0,11.6034,476.0,206.0,8.2069,197.0,49.0,3.39655,333.143,65.2539,0
76,6,0,8,1158.0,300.0,15.2368,1252.0,370.0,16.4737,-94.0,23.0,-1.23684,367.0,66.1541,0
167,8,0,11,2144.0,515.0,12.8383,1636.0,515.0,9.79641,508.0,47.0,3.04192,329.0,77.0235,0
27,5,0,5,629.0,146.0,23.2963,80.0,12.0,2.96296,549.0,146.0,20.3333,226.0,3.16489,0
29,5,0,4,280.0,93.0,9.65517,256.0,93.0,8.82759,24.0,25.0,0.827586,367.0,34.4097,0
90,8,0,8,4337.0,329.0,48.1889,4198.0,329.0,46.6444,139.0,101.0,1.54444,367.0,36.5847,1
38,13,0,7,493.0,173.0,12.9737,285.0,173.0,7.5,208.0,75.0,5.47368,333.143,73.2634,0
21,5,0,5,147.0,54.0,7.0,139.0,54.0,6.61905,8.0,31.0,0.380952,367.0,56.1244,0
82,4,0,7,1665.0,441.0,20.3049,1510.0,441.0,18.4146,155.0,135.0,1.89024,367.0,71.0099,0
80,10,0,8,620.0,91.0,7.75,506.0,91.0,6.325,114.0,15.0,1.425,367.0,106.514,0
4,1,0,2,11.0,8.0,2.75,11.0,8.0,2.75,0.0,0.0,0.0,87.7143,8.35065,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0,0
33,2,0,5,798.0,141.0,24.1818,730.0,127.0,22.1212,68.0,72.0,2.06061,367.0,112.254,0
47,7,0,9,502.0,140.0,10.6809,300.0,140.0,6.38298,202.0,71.0,4.29787,367.0,154.785,0
28,4,0,5,104.0,44.0,3.71429,103.0,44.0,3.67857,1.0,6.0,0.0357143,367.0,59.0316,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7143,0,0
87,19,0,7,3123.0,378.0,35.8966,2127.0,378.0,24.4483,996.0,216.0,11.4483,363.857,109.912,1
7,3,0,4,19.0,7.0,2.71429,13.0,5.0,1.85714,6.0,6.0,0.857143,191.571,95.6842,0
35,4,0,8,219.0,110.0,6.25714,49.0,7.0,1.4,170.0,106.0,4.85714,243.857,141.279,1
84,8,0,6,857.0,102.0,10.2024,680.0,102.0,8.09524,177.0,59.0,2.10714,367.0,122.828,1
8,3,0,3,28.0,7.0,3.5,18.0,5.0,2.25,10.0,6.0,1.25,175.0,34.1888,0
17,4,0,4,68.0,23.0,4.0,68.0,23.0,4.0,0.0,6.0,0.0,367.0,61.6723,0
41,6,0,7,337.0,105.0,8.21951,316.0,105.0,7.70732,21.0,15.0,0.512195,367.0,80.2128,0
37,5,0,5,1295.0,285.0,35.0,1325.0,285.0,35.8108,-30.0,43.0,-0.810811,367.0,63.2596,0
135,24,0,9,5002.0,649.0,37.0519,4154.0,634.0,30.7704,848.0,269.0,6.28148,288.143,96.7068,0
51,6,0,5,809.0,159.0,15.8627,805.0,159.0,15.7843,4.0,13.0,0.0784314,367.0,44.356,0
381,27,0,9,19905.0,1343.0,52.2441,16702.0,1343.0,43.8373,3203.0,240.0,8.40682,367.0,76.8359,1
85,9,0,8,2035.0,315.0,23.9412,1862.0,315.0,21.9059,173.0,55.0,2.03529,367.0,80.5213,1
42,14,0,7,365.0,126.0,8.69048,218.0,126.0,5.19048,147.0,60.0,3.5,333.143,73.5362,0
34,10,0,8,1053.0,319.0,30.9706,473.0,70.0,13.9118,580.0,249.0,17.0588,220.143,26.9399,0
12,4,0,5,58.0,31.0,4.83333,52.0,31.0,4.33333,6.0,5.0,0.5,329.0,40.2143,0
3,0,0,1,9.0,7.0,3.0,35.0,23.0,11.6667,-26.0,0.0,-8.66667,16.0,1.73016,0
5,2,0,2,22.0,10.0,4.4,28.0,17.0,5.6,-6.0,10.0,-1.2,117.0,55.5325,0
14,4,0,5,129.0,87.0,9.21429,156.0,87.0,11.1429,-27.0,5.0,-1.92857,331.857,44.6523,0
397,96,1,10,22934.0,2078.0,57.7683,19199.0,2001.0,48.3602,3735.0,630.0,9.40806,367.0,176.29,1
4,2,0,3,21.0,19.0,5.25,15.0,13.0,3.75,6.0,6.0,1.5,103.143,69.2925,0
7,4,0,3,146.0,69.0,20.8571,8.0,4.0,1.14286,138.0,69.0,19.7143,222.857,10.5264,0
7,3,0,3,9.0,5.0,1.28571,9.0,5.0,1.28571,0.0,0.0,0.0,236.143,63.6984,0
21,4,0,5,65.0,16.0,3.09524,77.0,21.0,3.66667,-12.0,1.0,-0.571429,288.857,36.0571,0
112,11,0,7,1709.0,500.0,15.2589,1953.0,593.0,17.4375,-244.0,44.0,-2.17857,367.0,61.1051,1
71,5,0,10,979.0,202.0,13.7887,716.0,210.0,10.0845,263.0,50.0,3.70423,367.0,132.269,1
19,2,0,5,201.0,39.0,10.5789,99.0,42.0,5.21053,102.0,33.0,5.36842,224.0,50.1599,0
28,4,0,5,139.0,53.0,4.96429,136.0,53.0,4.85714,3.0,6.0,0.107143,367.0,53.7605,0
12,5,0,4,56.0,27.0,4.66667,45.0,27.0,3.75,11.0,10.0,0.916667,334.714,46.8112,0
16,5,0,4,115.0,55.0,7.1875,119.0,55.0,7.4375,-4.0,6.0,-0.25,367.0,51.2435,0
21,2,0,6,246.0,104.0,11.7143,229.0,104.0,10.9048,17.0,12.0,0.809524,367.0,55.2096,0
35,6,0,5,386.0,100.0,11.0286,214.0,100.0,6.11429,172.0,37.0,4.91429,227.571,92.5426,1
73,9,0,7,2135.0,604.0,29.2466,2223.0,604.0,30.4521,-88.0,22.0,-1.20548,367.0,73.4238,1
33,5,0,4,617.0,331.0,18.697,324.0,129.0,9.81818,293.0,202.0,8.87879,140.143,4.84719,0
30,9,0,7,198.0,77.0,6.6,115.0,77.0,3.83333,83.0,36.0,2.76667,333.143,72.3867,0
9,5,0,4,12.0,4.0,1.33333,11.0,4.0,1.22222,1.0,1.0,0.111111,224.857,76.9405,0
26,5,0,4,153.0,47.0,5.88462,139.0,47.0,5.34615,14.0,15.0,0.538462,367.0,65.3119,0
183,30,0,9,2680.0,542.0,14.6448,1779.0,542.0,9.72131,901.0,84.0,4.9235,367.0,108.119,1
3,1,0,3,5.0,4.0,1.66667,5.0,4.0,1.66667,0.0,0.0,0.0,177.143,3.45714,0
8,4,0,4,155.0,76.0,19.375,19.0,11.0,2.375,136.0,76.0,17.0,223.571,10.482,0
11,4,0,3,234.0,205.0,21.2727,29.0,9.0,2.63636,205.0,205.0,18.6364,322.714,69.5672,1
44,6,0,6,328.0,72.0,7.45455,277.0,72.0,6.29545,51.0,34.0,1.15909,367.0,68.76,0
140,26,1,10,7441.0,594.0,53.15,6989.0,594.0,49.9214,452.0,111.0,3.22857,367.0,55.6267,1
72,4,0,7,3216.0,448.0,44.6667,3112.0,448.0,43.2222,104.0,52.0,1.44444,367.0,109.796,1
35,7,0,6,205.0,78.0,5.85714,214.0,78.0,6.11429,-9.0,6.0,-0.257143,367.0,63.5052,0
21,6,0,5,138.0,55.0,6.57143,106.0,37.0,5.04762,32.0,18.0,1.52381,281.143,48.5166,0
13,4,0,5,85.0,60.0,6.53846,85.0,65.0,6.53846,0.0,3.0,0.0,270.143,133.121,0
7,3,0,1,122.0,35.0,17.4286,44.0,17.0,6.28571,78.0,30.0,11.1429,9.14286,1.79742,0
66,16,0,8,1809.0,310.0,27.4091,1676.0,310.0,25.3939,133.0,87.0,2.01515,367.0,97.146,0
6,1,0,1,63.0,33.0,10.5,87.0,32.0,14.5,-24.0,1.0,-4.0,169.571,7.85714,0
14,4,0,5,59.0,12.0,4.21429,70.0,19.0,5.0,-11.0,4.0,-0.785714,322.714,69.0678,0
53,9,0,7,420.0,133.0,7.92453,382.0,133.0,7.20755,38.0,19.0,0.716981,367.0,88.0983,0
24,8,0,6,1029.0,316.0,42.875,448.0,159.0,18.6667,581.0,290.0,24.2083,220.143,15.1756,0
45,15,0,7,625.0,230.0,13.8889,368.0,230.0,8.17778,257.0,104.0,5.71111,333.143,71.442,0
43,7,0,8,888.0,445.0,20.6512,427.0,216.0,9.93023,461.0,229.0,10.7209,262.0,102.345,0
112,26,0,10,5361.0,1562.0,47.8661,2652.0,1562.0,23.6786,2709.0,746.0,24.1875,333.143,72.771,0
13,3,0,3,130.0,45.0,10.0,21.0,14.0,1.61538,109.0,31.0,8.38461,169.857,89.5549,1
78,8,0,7,1025.0,277.0,13.141,1060.0,277.0,13.5897,-35.0,64.0,-0.448718,367.0,65.5231,0
49,13,0,8,785.0,308.0,16.0204,525.0,308.0,10.7143,260.0,61.0,5.30612,333.143,67.7934,1
9,3,0,4,149.0,68.0,16.5556,13.0,4.0,1.44444,136.0,68.0,15.1111,220.857,9.39981,0
18,4,0,4,246.0,75.0,13.6667,254.0,75.0,14.1111,-8.0,9.0,-0.444444,367.0,53.8084,0
65,9,0,5,1612.0,232.0,24.8,1119.0,217.0,17.2154,493.0,231.0,7.58461,178.143,49.9435,1
31,5,0,4,157.0,48.0,5.06452,182.0,48.0,5.87097,-25.0,6.0,-0.806452,367.0,79.3467,0
7,6,0,1,9.0,4.0,1.28571,8.0,4.0,1.14286,1.0,1.0,0.142857,168.857,85.9841,0
35,6,0,6,154.0,42.0,4.4,123.0,42.0,3.51429,31.0,18.0,0.885714,367.0,84.1169,0
11,5,0,6,250.0,134.0,22.7273,168.0,134.0,15.2727,82.0,64.0,7.45455,332.0,21.8657,0
150,10,0,10,4705.0,765.0,31.3667,4440.0,746.0,29.6,265.0,43.0,1.76667,367.0,155.141,1
140,8,0,8,2114.0,539.0,15.1,2023.0,539.0,14.45,91.0,206.0,0.65,367.0,72.7247,0
23,3,0,7,124.0,39.0,5.3913,123.0,39.0,5.34783,1.0,5.0,0.0434783,367.0,80.6912,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7143,0,0
3,3,0,1,2.0,1.0,0.666667,2.0,1.0,0.666667,0.0,0.0,0.0,168.857,56.0,0
30,3,0,5,578.0,138.0,19.2667,576.0,138.0,19.2,2.0,10.0,0.0666667,367.0,76.868,0
36,4,0,5,833.0,498.0,23.1389,822.0,498.0,22.8333,11.0,30.0,0.305556,367.0,77.5493,0
33,8,0,7,276.0,150.0,8.36364,364.0,150.0,11.0303,-88.0,15.0,-2.66667,343.0,44.9234,1
