@RELATION change_classic_combined

@ATTRIBUTE numberOfVersionsUntil  NUMERIC
@ATTRIBUTE numberOfFixesUntil   NUMERIC
@ATTRIBUTE numberOfRefactoringsUntil  NUMERIC
@ATTRIBUTE umberOfAuthorsUntil   NUMERIC
@ATTRIBUTE linesAddedUntil   NUMERIC
@ATTRIBUTE maxLinesAddedUntil   NUMERIC
@ATTRIBUTE avgLinesAddedUntil   NUMERIC
@ATTRIBUTE linesRemovedUntil   NUMERIC
@ATTRIBUTE maxLinesRemovedUntil   NUMERIC
@ATTRIBUTE avgLinesRemovedUntil   NUMERIC
@ATTRIBUTE codeChurnUntil   NUMERIC
@ATTRIBUTE maxCodeChurnUntil   NUMERIC
@ATTRIBUTE avgCodeChurnUntil   NUMERIC
@ATTRIBUTE weightedAgeWithRespectTo   NUMERIC
@ATTRIBUTE ageWithRespectTo   NUMERIC
@ATTRIBUTE cbo  NUMERIC
@ATTRIBUTE dit  NUMERIC
@ATTRIBUTE fanIn  NUMERIC
@ATTRIBUTE fanOut  NUMERIC
@ATTRIBUTE lcom  NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE numberOfAttributes  NUMERIC
@ATTRIBUTE numberOfAttributesInherited  NUMERIC
@ATTRIBUTE numberOfLinesOfCode  NUMERIC
@ATTRIBUTE numberOfMethods  NUMERIC
@ATTRIBUTE numberOfMethodsInherited  NUMERIC
@ATTRIBUTE numberOfPrivateAttributes  NUMERIC
@ATTRIBUTE numberOfPrivateMethods  NUMERIC
@ATTRIBUTE numberOfPublicAttributes  NUMERIC
@ATTRIBUTE numberOfPublicMethods  NUMERIC
@ATTRIBUTE rfc  NUMERIC
@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
106, 35, 0, 11, 4597, 1604, 43.3679, 2447, 849, 23.0849, 2150, 1604, 20.283, 17.0975, 225.286, 41, 1, 9, 33, 210, 0, 19, 0, 426, 21, 8, 15, 5, 0, 15, 170, 89, 1
9, 2, 0, 3, 388, 267, 43.1111, 20, 11, 2.22222, 368, 256, 40.8889, 23.0066, 126, 5, 3, 1, 4, 36, 0, 13, 0, 261, 9, 18, 12, 4, 1, 2, 56, 69, 0
12, 2, 0, 5, 228, 53, 19, 162, 35, 13.5, 66, 40, 5.5, 4.72807, 193.571, 1, 1, 1, 1, 6, 1, 1, 0, 20, 4, 8, 0, 0, 1, 3, 5, 6, 0
23, 7, 0, 8, 214, 99, 9.30435, 133, 99, 5.78261, 81, 21, 3.52174, 76.0494, 332, 3, 2, 1, 2, 3, 0, 1, 0, 62, 3, 13, 1, 1, 0, 1, 14, 8, 0
35, 7, 0, 9, 5188, 1713, 148.229, 939, 434, 26.8286, 4249, 1511, 121.4, 105.181, 333.143, 2, 1, 2, 0, 10, 6, 1, 0, 15, 5, 8, 1, 0, 0, 5, 5, 5, 0
31, 19, 0, 6, 515, 95, 16.6129, 374, 92, 12.0645, 141, 41, 4.54839, 33.0488, 193, 1, 1, 1, 0, 0, 0, 0, 0, 3, 1, 8, 0, 0, 0, 0, 3, 1, 0
63, 23, 0, 10, 2035, 467, 32.3016, 1133, 467, 17.9841, 902, 139, 14.3175, 107.323, 333.143, 26, 1, 26, 0, 595, 1, 0, 0, 105, 35, 8, 0, 0, 0, 2, 35, 35, 0
29, 9, 0, 7, 276, 113, 9.51724, 162, 113, 5.58621, 114, 52, 3.93103, 71.3131, 333.143, 15, 3, 12, 3, 55, 0, 3, 95, 47, 11, 73, 2, 0, 0, 2, 29, 13, 0
21, 7, 0, 5, 103, 37, 4.90476, 24, 4, 1.14286, 79, 37, 3.7619, 16.3523, 229.714, 4, 3, 2, 2, 36, 0, 1, 95, 31, 9, 75, 1, 0, 0, 1, 19, 9, 0
40, 7, 0, 7, 624, 92, 15.6, 271, 89, 6.775, 353, 74, 8.825, 96.3013, 333.143, 17, 2, 10, 7, 120, 6, 3, 95, 74, 16, 68, 1, 0, 2, 7, 38, 19, 0
28, 9, 0, 7, 287, 113, 10.25, 155, 113, 5.53571, 132, 61, 4.71429, 73.4545, 333.143, 2, 3, 1, 1, 66, 0, 3, 95, 52, 12, 73, 2, 0, 0, 3, 28, 14, 0
34, 12, 0, 7, 316, 123, 9.29412, 181, 123, 5.32353, 135, 60, 3.97059, 70.9878, 333.143, 4, 3, 1, 3, 66, 0, 3, 95, 59, 12, 73, 2, 0, 0, 3, 35, 16, 0
36, 13, 0, 7, 474, 172, 13.1667, 288, 172, 8, 186, 72, 5.16667, 72.5286, 333.143, 4, 3, 1, 4, 91, 0, 5, 95, 106, 14, 73, 3, 0, 0, 5, 51, 27, 0
39, 14, 0, 7, 487, 173, 12.4872, 297, 173, 7.61538, 190, 74, 4.87179, 72.7413, 333.143, 5, 2, 1, 4, 91, 0, 5, 95, 107, 14, 68, 3, 0, 0, 5, 53, 27, 0
49, 13, 0, 8, 785, 308, 16.0204, 525, 308, 10.7143, 260, 61, 5.30612, 67.7934, 333.143, 7, 3, 1, 6, 105, 0, 3, 95, 220, 15, 73, 2, 0, 0, 5, 85, 57, 1
9, 5, 0, 4, 11, 5, 1.22222, 10, 5, 1.11111, 1, 1, 0.111111, 86.3117, 224.857, 4, 2, 3, 1, 3, 0, 2, 0, 14, 3, 15, 0, 0, 2, 2, 4, 4, 0
9, 5, 0, 4, 12, 4, 1.33333, 11, 4, 1.22222, 1, 1, 0.111111, 76.9405, 224.857, 6, 2, 4, 2, 6, 0, 3, 0, 18, 4, 15, 2, 0, 1, 3, 6, 6, 0
66, 16, 0, 9, 1416, 249, 21.4545, 763, 249, 11.5606, 653, 147, 9.89394, 87.7899, 333.143, 8, 3, 2, 7, 276, 0, 14, 95, 208, 24, 73, 8, 0, 0, 12, 104, 54, 0
9, 4, 0, 3, 20, 4, 2.22222, 16, 4, 1.77778, 4, 2, 0.444444, 26.3143, 229.714, 5, 2, 4, 1, 21, 3, 1, 95, 24, 7, 68, 1, 0, 0, 5, 8, 7, 0
120, 31, 0, 12, 3335, 544, 27.7917, 2024, 588, 16.8667, 1311, 125, 10.925, 131.366, 333.143, 23, 2, 15, 9, 666, 0, 16, 95, 344, 37, 68, 12, 0, 1, 21, 120, 100, 0
155, 33, 0, 12, 3557, 272, 22.9484, 2821, 285, 18.2, 736, 156, 4.74839, 123.398, 333.143, 29, 2, 2, 28, 120, 0, 5, 28, 282, 16, 25, 1, 3, 4, 7, 106, 60, 0
36, 13, 0, 7, 614, 220, 17.0556, 384, 220, 10.6667, 230, 86, 6.38889, 71.7064, 333.143, 4, 3, 1, 3, 120, 0, 7, 95, 141, 16, 73, 4, 0, 0, 7, 65, 35, 0
35, 8, 0, 7, 514, 124, 14.6857, 235, 124, 6.71429, 279, 76, 7.97143, 85.9722, 333.143, 4, 3, 1, 4, 78, 0, 6, 95, 76, 13, 73, 4, 0, 0, 4, 39, 23, 0
34, 12, 0, 7, 314, 123, 9.23529, 179, 123, 5.26471, 135, 60, 3.97059, 70.7502, 333.143, 4, 3, 1, 3, 66, 0, 3, 95, 59, 12, 73, 2, 0, 0, 3, 35, 16, 0
9, 2, 0, 5, 373, 341, 41.4444, 265, 259, 29.4444, 108, 82, 12, 159.199, 224.143, 0, 2, 0, 0, 10, 2, 0, 0, 15, 5, 13, 0, 0, 0, 3, 7, 5, 0
189, 86, 0, 12, 6311, 991, 33.3915, 4457, 991, 23.582, 1854, 123, 9.80952, 100.199, 333.143, 35, 2, 4, 34, 741, 0, 7, 0, 1106, 39, 43, 1, 1, 6, 2, 369, 331, 1
45, 6, 0, 8, 1727, 444, 38.3778, 722, 107, 16.0444, 1005, 430, 22.3333, 25.5065, 229, 6, 1, 2, 5, 78, 0, 10, 0, 393, 13, 8, 0, 1, 9, 4, 67, 102, 0
3, 2, 0, 2, 24, 18, 8, 97, 87, 32.3333, -73, 8, -24.3333, 57.3929, 122.714, 4, 3, 1, 3, 15, 0, 1, 9, 20, 6, 42, 1, 0, 0, 5, 11, 6, 0
48, 6, 0, 7, 900, 257, 18.75, 407, 47, 8.47917, 493, 223, 10.2708, 47.8178, 229, 16, 2, 1, 15, 153, 0, 2, 133, 638, 18, 46, 2, 1, 0, 2, 220, 113, 1
42, 13, 0, 7, 501, 172, 11.9286, 295, 172, 7.02381, 206, 74, 4.90476, 72.5395, 333.143, 6, 3, 1, 5, 91, 0, 5, 95, 106, 14, 73, 3, 0, 0, 5, 53, 27, 0
30, 9, 0, 7, 198, 77, 6.6, 115, 77, 3.83333, 83, 36, 2.76667, 72.3867, 333.143, 5, 3, 3, 2, 28, 0, 1, 95, 29, 8, 73, 1, 0, 0, 1, 18, 8, 0
35, 8, 0, 6, 957, 285, 27.3429, 276, 86, 7.88571, 681, 285, 19.4571, 12.1797, 239.571, 7, 3, 1, 7, 120, 0, 7, 95, 141, 16, 73, 4, 0, 0, 7, 70, 35, 0
39, 10, 0, 7, 984, 257, 25.2308, 197, 49, 5.05128, 787, 257, 20.1795, 16.3291, 239.571, 8, 3, 1, 8, 210, 0, 9, 97, 141, 21, 84, 4, 0, 0, 8, 78, 36, 0
35, 7, 0, 6, 812, 197, 23.2, 141, 20, 4.02857, 671, 197, 19.1714, 4.71024, 226, 8, 4, 2, 7, 171, 0, 9, 99, 118, 19, 100, 3, 0, 0, 3, 63, 30, 0
14, 5, 0, 7, 192, 79, 13.7143, 130, 79, 9.28571, 62, 32, 4.42857, 100.571, 333.143, 2, 2, 0, 2, 10, 26, 0, 95, 15, 5, 68, 0, 0, 0, 4, 13, 5, 0
38, 13, 0, 7, 359, 135, 9.44737, 216, 135, 5.68421, 143, 58, 3.76316, 71.4314, 333.143, 5, 3, 1, 4, 66, 0, 3, 95, 72, 12, 73, 2, 0, 0, 3, 39, 19, 0
42, 14, 0, 7, 539, 170, 12.8333, 289, 170, 6.88095, 250, 74, 5.95238, 68.9268, 333.143, 4, 3, 1, 4, 105, 0, 5, 95, 109, 15, 73, 3, 0, 0, 6, 55, 28, 0
59, 16, 0, 8, 821, 243, 13.9153, 531, 243, 9, 290, 170, 4.91525, 78.58, 333.143, 11, 3, 6, 6, 153, 0, 9, 97, 136, 18, 84, 4, 0, 0, 4, 69, 37, 0
45, 15, 0, 7, 625, 230, 13.8889, 368, 230, 8.17778, 257, 104, 5.71111, 71.442, 333.143, 6, 3, 1, 5, 136, 0, 9, 95, 117, 17, 73, 5, 0, 0, 7, 61, 29, 0
41, 13, 0, 7, 631, 227, 15.3902, 379, 227, 9.2439, 252, 90, 6.14634, 70.4743, 333.143, 6, 3, 1, 5, 120, 0, 7, 95, 128, 16, 73, 4, 0, 0, 7, 64, 32, 0
46, 12, 0, 8, 785, 183, 17.0652, 377, 183, 8.19565, 408, 121, 8.86956, 85.287, 333.143, 9, 2, 5, 5, 153, 0, 8, 95, 121, 18, 68, 5, 0, 0, 8, 61, 31, 0
42, 15, 0, 7, 855, 407, 20.3571, 606, 407, 14.4286, 249, 116, 5.92857, 61.1658, 333.143, 5, 3, 1, 4, 190, 0, 9, 95, 158, 20, 73, 5, 0, 0, 9, 74, 42, 0
53, 13, 0, 7, 697, 175, 13.1509, 418, 175, 7.88679, 279, 160, 5.26415, 84.9543, 333.143, 9, 3, 3, 6, 136, 0, 7, 97, 125, 17, 84, 3, 0, 0, 3, 63, 35, 0
35, 12, 0, 7, 297, 92, 8.48571, 117, 18, 3.34286, 180, 74, 5.14286, 91.5094, 321, 5, 3, 1, 4, 91, 0, 5, 95, 106, 14, 73, 3, 0, 0, 5, 51, 27, 0
15, 2, 0, 7, 86, 17, 5.73333, 52, 11, 3.46667, 34, 15, 2.26667, 46.3405, 221, 12, 2, 1, 11, 105, 0, 5, 0, 163, 15, 19, 1, 4, 1, 3, 88, 35, 0
51, 11, 0, 7, 687, 119, 13.4706, 309, 119, 6.05882, 378, 104, 7.41176, 87.2758, 333.143, 18, 3, 12, 6, 91, 0, 7, 95, 108, 14, 75, 5, 0, 0, 4, 49, 26, 0
38, 13, 0, 7, 493, 173, 12.9737, 285, 173, 7.5, 208, 75, 5.47368, 73.2634, 333.143, 6, 3, 1, 5, 91, 0, 5, 95, 107, 14, 73, 3, 0, 0, 5, 53, 27, 0
19, 6, 0, 5, 101, 37, 5.31579, 22, 4, 1.15789, 79, 37, 4.15789, 16.587, 229.714, 4, 3, 2, 2, 36, 0, 1, 95, 31, 9, 75, 1, 0, 0, 1, 19, 9, 0
23, 4, 0, 5, 374, 98, 16.2609, 46, 12, 2, 328, 98, 14.2609, 3.81207, 226, 3, 4, 1, 2, 55, 0, 2, 96, 54, 11, 88, 1, 0, 0, 1, 32, 15, 0
25, 8, 0, 5, 228, 82, 9.12, 61, 8, 2.44, 167, 74, 6.68, 10.4781, 229.714, 6, 2, 3, 4, 105, 0, 5, 95, 95, 15, 68, 3, 0, 0, 6, 51, 25, 0
32, 6, 0, 6, 643, 183, 20.0938, 92, 12, 2.875, 551, 183, 17.2187, 5.70384, 226, 5, 2, 1, 5, 105, 0, 5, 95, 109, 15, 68, 3, 0, 0, 6, 56, 28, 0
6, 5, 0, 2, 74, 50, 12.3333, 30, 16, 5, 44, 34, 7.33333, 56.0985, 122.714, 15, 2, 4, 11, 171, 1, 6, 6, 152, 19, 24, 3, 1, 0, 14, 76, 56, 0
11, 5, 0, 6, 250, 134, 22.7273, 168, 134, 15.2727, 82, 64, 7.45455, 21.8657, 332, 2, 1, 1, 1, 10, 0, 3, 0, 27, 5, 8, 3, 0, 0, 5, 8, 8, 0
108, 30, 0, 11, 1416, 164, 13.1111, 970, 164, 8.98148, 446, 83, 4.12963, 159.011, 333.143, 14, 2, 1, 14, 465, 0, 14, 6, 290, 31, 39, 14, 1, 0, 29, 85, 86, 0
73, 16, 0, 8, 2096, 439, 28.7123, 1160, 439, 15.8904, 936, 282, 12.8219, 84.0883, 333.143, 15, 3, 8, 9, 595, 0, 23, 97, 319, 35, 84, 11, 0, 0, 18, 156, 81, 0
46, 15, 0, 8, 830, 189, 18.0435, 431, 189, 9.36956, 399, 91, 8.67391, 99.3661, 333.143, 6, 3, 2, 5, 171, 0, 10, 95, 137, 19, 73, 6, 0, 0, 9, 72, 38, 0
24, 6, 0, 5, 269, 100, 11.2083, 68, 9, 2.83333, 201, 91, 8.375, 9.76739, 229.714, 8, 2, 3, 6, 136, 0, 7, 95, 109, 17, 68, 4, 0, 0, 7, 60, 28, 0
25, 6, 0, 6, 339, 113, 13.56, 67, 7, 2.68, 272, 107, 10.88, 26.3936, 229.714, 6, 2, 3, 4, 136, 0, 8, 95, 121, 17, 68, 5, 0, 0, 7, 60, 31, 0
36, 9, 0, 7, 1462, 425, 40.6111, 665, 315, 18.4722, 797, 270, 22.1389, 120.387, 333.143, 9, 2, 7, 2, 300, 0, 15, 95, 96, 25, 70, 2, 0, 0, 16, 43, 28, 0
24, 8, 0, 6, 225, 77, 9.375, 189, 77, 7.875, 36, 47, 1.5, 66.5175, 333.143, 12, 3, 8, 4, 15, 2, 2, 95, 22, 6, 73, 0, 0, 1, 4, 13, 6, 0
14, 4, 0, 4, 279, 92, 19.9286, 43, 10, 3.07143, 236, 88, 16.8571, 8.69329, 224.857, 1, 1, 1, 0, 55, 1, 0, 0, 43, 11, 8, 0, 0, 0, 0, 11, 11, 0
9, 4, 0, 4, 17, 4, 1.88889, 21, 6, 2.33333, -4, 0, -0.444444, 48.3193, 256.571, 1, 2, 1, 0, 1, 0, 3, 0, 11, 2, 11, 0, 0, 3, 1, 2, 4, 0
23, 4, 0, 5, 464, 123, 20.1739, 52, 12, 2.26087, 412, 123, 17.913, 3.29433, 226, 4, 4, 1, 3, 78, 0, 4, 96, 67, 13, 88, 2, 0, 0, 2, 41, 18, 0
30, 9, 0, 7, 201, 76, 6.7, 115, 76, 3.83333, 86, 37, 2.86667, 72.9204, 333.143, 2, 3, 1, 1, 36, 0, 1, 95, 31, 9, 73, 1, 0, 0, 1, 18, 9, 0
45, 10, 0, 8, 411, 146, 9.13333, 230, 146, 5.11111, 181, 61, 4.02222, 65.2517, 333.143, 5, 3, 1, 4, 78, 0, 3, 95, 97, 13, 73, 2, 0, 0, 3, 42, 20, 0
46, 14, 0, 8, 470, 124, 10.2174, 229, 124, 4.97826, 241, 93, 5.23913, 134.24, 333.143, 16, 2, 1, 15, 105, 0, 7, 6, 155, 15, 23, 7, 1, 0, 13, 61, 43, 0
48, 12, 0, 9, 778, 144, 16.2083, 318, 144, 6.625, 460, 94, 9.58333, 90.6761, 333.143, 13, 2, 7, 7, 136, 0, 8, 95, 130, 17, 68, 4, 0, 1, 7, 66, 36, 0
39, 7, 0, 6, 734, 162, 18.8205, 232, 58, 5.94872, 502, 162, 12.8718, 14.6339, 239.571, 10, 3, 6, 4, 91, 0, 6, 95, 88, 14, 76, 3, 0, 1, 4, 47, 22, 0
36, 13, 0, 7, 351, 130, 9.75, 208, 130, 5.77778, 143, 58, 3.97222, 72.3289, 333.143, 6, 3, 3, 3, 66, 0, 3, 95, 71, 12, 73, 2, 0, 0, 3, 37, 19, 0
37, 14, 0, 7, 513, 235, 13.8649, 322, 235, 8.7027, 191, 83, 5.16216, 65.5792, 333.143, 4, 3, 1, 3, 105, 0, 5, 95, 96, 15, 73, 3, 0, 0, 5, 48, 25, 0
38, 14, 0, 7, 536, 253, 14.1053, 345, 253, 9.07895, 191, 83, 5.02632, 63.662, 333.143, 4, 3, 1, 3, 105, 0, 5, 95, 97, 15, 73, 3, 0, 0, 5, 48, 25, 0
34, 12, 0, 7, 433, 238, 12.7353, 303, 238, 8.91176, 130, 60, 3.82353, 55.2118, 333.143, 7, 3, 5, 2, 78, 0, 13, 95, 59, 13, 76, 3, 0, 0, 4, 31, 16, 0
50, 16, 0, 7, 520, 174, 10.4, 307, 174, 6.14, 213, 75, 4.26, 72.406, 333.143, 8, 4, 4, 4, 105, 0, 5, 97, 110, 15, 79, 3, 0, 0, 5, 58, 28, 0
35, 7, 0, 6, 667, 198, 19.0571, 99, 12, 2.82857, 568, 198, 16.2286, 12.8297, 239.571, 8, 3, 4, 4, 91, 0, 6, 95, 107, 14, 76, 3, 0, 1, 5, 53, 27, 0
