@RELATION all

@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE dit   NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE cbo   NUMERIC
@ATTRIBUTE rfc   NUMERIC
@ATTRIBUTE lcom   NUMERIC
@ATTRIBUTE ca   NUMERIC
@ATTRIBUTE ce   NUMERIC
@ATTRIBUTE npm   NUMERIC
@ATTRIBUTE lcom3   NUMERIC
@ATTRIBUTE loc   NUMERIC
@ATTRIBUTE dam   NUMERIC
@ATTRIBUTE moa   NUMERIC
@ATTRIBUTE mfa   NUMERIC
@ATTRIBUTE cam   NUMERIC
@ATTRIBUTE ic   NUMERIC
@ATTRIBUTE cbm   NUMERIC
@ATTRIBUTE amc   NUMERIC
@ATTRIBUTE max_cc   NUMERIC
@ATTRIBUTE avg_cc   NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
3,3,0,6,29,0,1,5,3,0.25,184,1.0,2,0.9,0.6,0,0,59.666668,1,0.6666667,0
10,1,4,17,81,5,4,13,4,0.7836257,743,1.0,7,0.0,0.25925925,0,0,71.4,14,4.2,1
8,4,0,7,34,6,0,7,8,0.7619048,626,1.0,0,0.91764706,0.4375,2,2,76.5,3,1.625,1
6,2,0,3,11,13,2,1,6,0.8,68,1.0,0,0.92424244,0.44444445,1,5,10.166667,3,1.5,0
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
2,1,0,3,6,0,1,3,1,0.5,30,1.0,1,0.0,0.5833333,0,0,13.0,1,0.5,0
21,1,0,9,47,48,1,8,21,0.68,277,1.0,4,0.0,0.30952382,0,0,11.952381,7,1.4285715,1
3,1,0,15,3,3,15,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
14,1,0,7,82,65,0,7,1,0.8165681,1253,0.84615386,0,0.0,0.16964285,0,0,87.57143,4,2.142857,1
4,3,0,6,15,0,4,2,4,0.33333334,82,0.0,0,0.925,0.625,1,1,19.25,1,0.75,0
23,1,1,22,51,181,20,2,14,0.73140496,1407,1.0,0,0.0,0.29090908,0,0,59.695652,35,5.869565,0
0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
9,5,0,12,36,0,0,12,4,0.525,375,1.0,3,0.93043476,0.4,2,4,40.11111,11,2.4444444,0
5,1,0,1,35,4,1,0,4,0.5833333,354,1.0,0,0.0,0.5,0,0,69.2,8,3.2,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
5,1,0,2,22,0,1,1,5,0.9166667,130,1.0,0,0.0,0.6,0,0,24.4,3,1.6,0
14,5,0,10,43,15,0,10,12,0.61538464,168,1.0,1,0.89166665,0.39285713,3,5,10.857142,5,1.3571428,0
4,1,0,4,5,0,3,1,4,0.33333334,24,1.0,0,0.0,0.875,0,0,4.75,1,0.75,0
71,1,0,103,186,2247,99,7,55,0.972449,2193,0.5714286,0,0.0,0.1277311,0,0,29.492958,18,1.5774648,1
2,2,0,2,3,1,1,1,2,2.0,28,0.0,0,0.8888889,1.0,1,1,13.0,1,0.5,0
10,3,0,5,41,21,1,5,7,0.7936508,360,1.0,0,0.8043478,0.45,0,0,34.3,2,1.1,0
2,3,0,4,13,0,1,3,1,0.0,79,1.0,0,0.75,0.5833333,1,1,38.0,1,0.5,0
0,1,0,5,0,0,5,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
11,3,0,11,37,11,3,8,10,0.68333334,285,1.0,3,0.75,0.28787878,1,1,24.363636,3,1.9090909,0
3,2,0,1,9,0,0,1,1,0.0,58,1.0,1,0.71428573,0.6666667,1,1,17.333334,1,0.6666667,0
5,1,0,2,16,0,1,2,3,0.33333334,89,1.0,1,0.0,0.33333334,0,0,16.2,1,0.8,0
22,3,0,17,77,95,0,17,19,0.74285716,439,1.0,1,0.63793105,0.17272727,1,1,18.727272,2,1.0,0
5,3,0,12,31,0,2,10,4,0.3125,160,1.0,4,0.8181818,0.35,1,1,30.2,3,1.2,0
4,3,0,10,23,0,2,8,4,0.13333334,157,1.0,3,0.85714287,0.3888889,0,0,37.0,1,0.75,0
4,1,0,2,5,6,1,1,4,2.0,16,0.0,0,0.0,0.875,0,0,3.0,1,0.75,0
7,1,0,8,9,11,7,2,6,0.75,63,1.0,1,0.0,0.4642857,0,0,7.428571,5,1.5714285,0
4,3,0,8,42,2,0,8,4,0.6666667,242,1.0,0,0.925,0.75,2,3,59.0,1,0.75,0
0,1,0,1,0,0,1,0,0,2.0,24,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
24,3,0,27,80,182,20,8,18,0.5652174,693,0.6666667,2,0.5882353,0.1541502,2,5,27.75,13,2.2916667,0
2,1,0,0,6,1,0,0,2,2.0,45,0.0,0,0.0,0.6666667,0,0,21.5,8,4.0,0
8,3,0,6,55,24,0,6,3,0.8095238,643,0.5,0,0.84090906,0.30357143,0,0,78.625,3,1.25,0
7,4,0,11,32,0,0,11,6,0.6666667,189,1.0,1,0.9285714,0.34285715,1,1,25.428572,3,1.1428572,0
7,1,0,1,8,11,1,1,7,0.8333333,41,1.0,1,0.0,0.39285713,0,0,4.285714,1,0.85714287,0
5,1,5,12,11,8,11,1,5,0.75,59,1.0,0,0.0,0.7,0,0,10.6,5,1.6,0
2,1,0,5,29,0,0,5,0,0.0,176,1.0,2,0.0,0.6,0,0,85.5,10,5.0,0
8,4,0,6,35,4,0,6,7,0.71428573,265,1.0,0,0.91764706,0.46875,3,3,31.375,5,1.375,0
19,4,0,8,69,91,2,8,13,0.7777778,632,1.0,2,0.8125,0.36842105,1,1,31.894737,5,1.2631578,1
15,3,0,3,37,41,1,2,14,0.6964286,437,0.75,1,0.45454547,0.31111112,1,2,27.333334,1,0.8,0
9,1,0,3,22,4,1,3,9,0.6875,153,1.0,1,0.0,0.4814815,0,0,15.555555,4,1.2222222,0
5,1,0,10,5,10,10,0,5,2.0,5,0.0,0,0.0,0.53333336,0,0,0.0,1,1.0,0
7,3,0,7,22,0,0,7,7,0.625,147,1.0,0,0.8604651,0.34285715,1,1,19.428572,5,1.4285715,0
21,1,0,2,35,38,2,0,17,0.6318182,617,0.8181818,0,0.0,0.2936508,0,0,27.857143,3,0.85714287,0
3,1,0,3,9,3,1,2,2,2.0,43,0.0,0,0.0,0.6666667,0,0,13.333333,1,0.6666667,0
12,3,11,18,37,0,12,6,11,0.45454547,164,1.0,1,0.7708333,0.41666666,0,0,12.5,6,1.5833334,0
13,4,0,7,55,30,1,7,10,0.8020833,590,1.0,1,0.8666667,0.5,2,2,43.76923,1,0.9230769,0
10,3,0,9,70,1,1,8,8,0.7037037,440,0.6666667,1,0.8043478,0.46666667,1,1,42.4,6,1.9,0
6,3,0,4,21,1,0,4,6,0.7,136,1.0,0,0.88095236,0.41666666,2,2,21.0,1,0.8333333,0
11,1,1,8,17,41,6,2,8,0.7,93,1.0,0,0.0,0.6666667,0,0,7.090909,1,0.72727275,0
2,1,0,3,5,0,1,3,1,0.5,27,1.0,1,0.0,0.5833333,0,0,11.5,1,0.5,0
1,2,0,9,3,0,6,3,1,2.0,14,0.0,0,1.0,1.0,0,0,13.0,0,0.0,0
8,4,0,12,65,2,0,12,6,0.9166667,583,0.16666667,0,0.91764706,0.33333334,3,3,70.375,3,1.25,0
5,3,0,7,20,2,0,7,5,0.625,76,1.0,1,0.902439,0.6,2,2,13.8,2,1.0,0
4,3,0,3,17,4,0,3,3,0.6666667,152,1.0,0,0.925,0.75,1,1,36.75,1,0.75,0
14,1,1,8,32,49,4,4,12,0.83516484,257,1.0,0,0.0,0.30769232,0,0,16.857143,6,1.6428572,1
8,3,0,3,40,10,0,3,8,0.71428573,271,1.0,0,0.84090906,0.40625,1,1,32.375,4,1.25,0
5,1,0,2,7,0,1,2,5,0.6666667,50,1.0,1,0.0,0.53333336,0,0,8.4,1,0.8,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
4,1,0,2,7,6,1,1,4,2.0,20,0.0,0,0.0,0.875,0,0,4.0,1,0.75,0
8,3,0,7,32,8,3,4,5,0.7380952,300,0.8333333,0,0.8604651,0.35714287,1,1,35.75,1,0.75,0
2,2,0,2,3,1,1,1,2,2.0,20,0.0,0,0.8888889,1.0,1,1,9.0,1,0.5,0
4,3,0,7,19,0,1,6,4,0.16666667,94,1.0,1,0.85714287,0.42857143,0,0,22.0,1,0.75,0
7,3,0,8,36,0,1,7,3,0.0,278,1.0,1,0.75,0.6,1,1,38.57143,1,0.85714287,0
5,1,0,7,17,0,0,7,5,0.5,75,1.0,0,0.0,0.8,0,0,13.4,3,1.2,0
1,1,0,3,1,0,3,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
8,1,0,6,25,0,5,1,7,0.6,169,1.0,0,0.0,0.41666666,0,0,19.5,7,1.875,0
2,2,0,2,3,1,1,1,2,2.0,20,0.0,0,0.8888889,1.0,1,1,9.0,1,0.5,0
2,2,3,6,4,0,3,3,1,0.0,17,1.0,1,0.6666667,0.625,1,1,7.0,1,0.5,0
2,1,0,4,2,1,3,2,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
3,1,0,1,3,3,1,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
19,1,34,78,23,119,75,5,16,0.8730159,125,1.0,4,0.0,0.21804512,0,0,5.2105265,2,1.0,0
4,1,3,10,13,6,7,3,2,2.0,42,0.0,0,0.0,0.5,0,0,9.5,1,0.5,0
5,1,0,2,6,6,2,1,5,0.8333333,28,1.0,1,0.0,0.53333336,0,0,4.0,1,0.8,0
4,5,0,5,21,0,0,5,4,0.33333334,87,1.0,0,0.9808917,1.0,1,1,20.5,3,1.25,0
9,1,0,8,25,10,5,3,7,0.6875,114,1.0,0,0.0,0.25,0,0,11.222222,1,0.8888889,1
2,2,0,9,19,1,1,8,2,2.0,120,0.0,0,0.9583333,1.0,1,1,59.0,1,0.5,0
5,1,0,4,20,0,0,4,4,0.33333334,144,1.0,1,0.0,0.9,0,0,27.2,5,2.2,0
17,2,0,9,64,76,7,2,9,0.87916666,713,0.6,2,0.7083333,0.3392857,1,3,40.058823,9,1.4117647,1
2,1,0,1,4,1,1,1,1,1.0,17,1.0,1,0.0,0.625,0,0,7.0,2,1.0,0
9,5,0,4,14,0,1,3,9,0.65625,83,1.0,0,0.9285714,0.3888889,0,0,7.7777777,2,0.8888889,0
22,4,0,16,72,165,1,16,16,0.9047619,675,1.0,1,0.7878788,0.22727273,3,3,29.045454,4,1.2272727,1
5,1,0,1,6,6,1,1,5,0.8333333,28,1.0,1,0.0,0.53333336,0,0,4.0,1,0.8,0
5,4,0,1,9,10,1,0,3,0.75,81,0.0,0,0.9245283,0.44,2,2,15.0,5,2.0,0
14,4,0,99,28,0,98,1,14,0.3846154,153,1.0,1,0.65,0.33333334,1,2,9.785714,2,0.64285713,0
3,4,0,3,6,0,1,3,0,0.5,73,1.0,1,0.88235295,0.5833333,1,1,22.666666,6,2.6666667,0
3,1,0,2,15,0,2,0,3,0.16666667,100,1.0,0,0.0,0.6666667,0,0,31.333334,2,1.0,0
19,3,1,18,56,97,5,13,12,0.8148148,406,1.0,2,0.6727273,0.19078948,0,0,19.894737,3,1.0526316,0
5,1,0,1,6,6,1,0,5,0.75,24,1.0,0,0.0,0.7,0,0,3.4,1,0.8,0
5,1,0,16,12,4,14,2,5,0.25,55,1.0,0,0.0,0.53333336,0,0,9.8,1,0.6,0
4,2,0,3,16,0,0,3,4,0.33333334,59,1.0,0,0.84210527,0.875,1,1,13.5,5,1.75,0
2,1,0,4,6,0,1,4,1,0.5,33,1.0,1,0.0,0.5833333,0,0,14.5,1,0.5,0
27,3,0,11,83,291,2,9,20,0.8894231,658,1.0,2,0.5873016,0.18518518,0,0,23.074074,11,1.925926,1
21,1,0,25,77,162,10,16,14,0.7375,566,0.9166667,4,0.0,0.135,0,0,25.380953,7,1.8095238,1
2,2,0,8,17,1,1,7,2,2.0,97,1.0,0,0.9583333,1.0,0,0,47.0,1,0.5,0
8,1,0,7,16,2,5,2,8,0.5714286,66,1.0,0,0.0,0.375,0,0,7.0,1,0.875,0
5,3,0,4,18,0,0,4,5,0.6666667,107,1.0,0,0.902439,0.8,1,1,19.8,1,0.8,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
6,3,0,4,24,5,0,4,5,0.73333335,153,1.0,0,0.88095236,0.5,0,0,24.0,1,0.8333333,0
11,2,0,12,15,13,9,4,11,0.75,97,1.0,3,0.2,0.22077923,0,0,7.2727275,1,0.72727275,0
14,1,1,9,34,47,4,5,12,0.82417583,279,1.0,0,0.0,0.30769232,0,0,18.428572,6,1.8571428,1
5,2,5,6,16,0,5,1,4,0.5,76,1.0,1,0.7777778,0.34285715,0,0,13.8,1,0.8,0
14,3,2,11,41,67,3,8,11,0.84615386,366,1.0,1,0.74,0.22321428,1,1,24.714285,4,1.2857143,0
5,1,0,7,17,0,0,7,5,0.5,75,1.0,0,0.0,0.8,0,0,13.4,3,1.2,0
2,1,0,2,3,1,1,1,0,2.0,10,0.0,0,0.0,0.75,0,0,3.0,0,0.0,0
7,1,0,3,24,13,1,3,7,0.7222222,105,1.0,2,0.0,0.34285715,0,0,13.571428,3,1.4285715,0
4,1,0,2,7,6,1,1,4,2.0,20,0.0,0,0.0,0.875,0,0,4.0,1,0.75,0
3,1,0,2,15,0,2,0,3,0.16666667,100,1.0,0,0.0,0.6666667,0,0,31.333334,2,1.0,0
15,3,0,15,54,59,0,15,15,0.88095236,398,1.0,1,0.7254902,0.37333333,0,0,24.733334,3,1.3333334,1
5,1,0,2,6,6,2,1,5,0.8333333,28,1.0,1,0.0,0.53333336,0,0,4.0,1,0.8,0
2,3,0,3,8,1,0,3,2,2.0,28,0.0,0,0.9677419,0.75,0,0,13.0,2,1.0,1
5,3,0,9,43,0,0,9,5,0.6666667,276,1.0,0,0.902439,0.53333336,2,3,53.6,1,0.8,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
3,4,0,3,6,0,1,3,0,0.5,73,1.0,1,0.88235295,0.5833333,1,1,22.666666,6,2.6666667,0
8,3,0,7,46,10,0,7,7,0.7714286,394,1.0,0,0.84090906,0.375,1,1,47.625,2,1.0,0
19,1,0,24,81,147,17,8,7,0.8611111,560,1.0,1,0.0,0.1712963,0,0,28.157894,2,1.0,0
16,1,0,7,78,118,5,3,12,0.8888889,745,0.6666667,0,0.0,0.41111112,0,0,45.375,22,3.125,0
8,3,0,9,32,6,0,9,6,0.6857143,201,1.0,0,0.8604651,0.30952382,1,1,23.5,6,1.5,1
4,3,0,3,17,4,0,3,3,0.6666667,152,1.0,0,0.925,0.75,1,1,36.75,1,0.75,0
1,1,0,2,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
6,4,0,9,48,5,0,9,5,0.6666667,300,1.0,0,0.939759,0.45833334,4,5,48.5,10,2.3333333,1
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.94871795,0.6666667,0,0,9.333333,1,0.6666667,0
2,2,0,2,3,1,1,1,2,2.0,24,0.0,0,0.8888889,1.0,1,1,11.0,1,0.5,0
5,1,0,2,15,0,1,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,0
17,1,3,15,66,90,4,12,6,0.7916667,630,1.0,2,0.0,0.19791667,0,0,35.882355,14,2.4117646,0
3,2,0,1,9,0,0,1,1,0.0,58,1.0,1,0.71428573,0.6666667,1,1,17.333334,1,0.6666667,0
2,3,0,3,8,1,1,3,2,2.0,33,0.0,0,0.969697,1.0,0,0,15.5,1,0.5,1
5,1,0,1,24,0,0,1,4,0.5625,147,1.0,0,0.0,0.6,0,0,27.6,1,0.8,0
4,1,0,2,9,0,1,2,4,0.5,34,1.0,1,0.0,0.4375,0,0,7.0,1,0.75,0
13,1,1,8,20,46,6,2,8,0.6666667,111,1.0,0,0.0,0.61538464,0,0,7.230769,1,0.7692308,0
7,1,0,5,28,1,1,5,7,0.7916667,254,1.0,1,0.0,0.3265306,0,0,34.142857,9,2.857143,0
6,3,0,3,24,11,0,3,4,0.8,151,1.0,0,0.88095236,0.5,2,2,23.833334,1,0.8333333,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
23,1,0,31,82,201,22,27,17,0.8939394,1093,0.44444445,0,0.0,0.3181818,0,0,45.739132,24,2.3043478,0
9,5,0,4,16,0,1,3,9,0.65625,110,1.0,0,0.9285714,0.3888889,0,0,10.777778,2,0.8888889,0
5,1,0,5,13,0,4,1,5,0.0,69,1.0,0,0.0,0.53333336,0,0,12.6,3,1.2,0
7,3,0,9,37,0,1,8,3,0.0,280,1.0,1,0.75,0.6,1,1,38.857143,1,0.85714287,0
